movieId,title,year,genres_clean,content,avg_rating,rating_count
1,Toy Story,1995,Adventure Animation Children Comedy Fantasy,toy story adventure animation children comedy fantasy,3.9209302325581397,215.0
2,Jumanji,1995,Adventure Children Fantasy,jumanji adventure children fantasy,3.4318181818181817,110.0
3,Grumpier Old Men,1995,Comedy Romance,grumpier old men comedy romance,3.2596153846153846,52.0
4,Waiting to Exhale,1995,Comedy Drama Romance,waiting exhale comedy drama romance,2.357142857142857,7.0
5,Father of the Bride Part II,1995,Comedy,father bride part ii comedy,3.0714285714285716,49.0
6,Heat,1995,Action Crime Thriller,heat action crime thriller,3.946078431372549,102.0
7,Sabrina,1995,Comedy Romance,sabrina comedy romance,3.185185185185185,54.0
8,Tom and Huck,1995,Adventure Children,tom huck adventure children,2.875,8.0
9,Sudden Death,1995,Action,sudden death action,3.125,16.0
10,GoldenEye,1995,Action Adventure Thriller,goldeneye action adventure thriller,3.496212121212121,132.0
11,"American President, The",1995,Comedy Drama Romance,american comedy drama romance,3.6714285714285713,70.0
12,Dracula: Dead and Loving It,1995,Comedy Horror,dead loving comedy horror,2.4210526315789473,19.0
13,Balto,1995,Adventure Animation Children,balto adventure animation children,3.125,8.0
14,Nixon,1995,Drama,nixon drama,3.8333333333333335,18.0
15,Cutthroat Island,1995,Action Adventure Romance,cutthroat island action adventure romance,3.0,13.0
16,Casino,1995,Crime Drama,casino crime drama,3.926829268292683,82.0
17,Sense and Sensibility,1995,Drama Romance,sense sensibility drama romance,3.7761194029850746,67.0
18,Four Rooms,1995,Comedy,four rooms comedy,3.7,20.0
19,Ace Ventura: When Nature Calls,1995,Comedy,ace nature calls comedy,2.727272727272727,88.0
20,Money Train,1995,Action Comedy Crime Drama Thriller,money train action comedy crime drama thriller,2.5,15.0
21,Get Shorty,1995,Comedy Crime Thriller,get shorty comedy crime thriller,3.49438202247191,89.0
22,Copycat,1995,Crime Drama Horror Mystery Thriller,copycat crime drama horror mystery thriller,3.2222222222222223,36.0
23,Assassins,1995,Action Crime Thriller,assassins action crime thriller,3.125,16.0
24,Powder,1995,Drama Sci-Fi,powder drama,3.125,28.0
25,Leaving Las Vegas,1995,Drama Romance,leaving las vegas drama romance,3.625,76.0
26,Othello,1995,Drama,othello drama,3.5,13.0
27,Now and Then,1995,Children Drama,children drama,3.3333333333333335,9.0
28,Persuasion,1995,Drama Romance,persuasion drama romance,4.2272727272727275,11.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure Drama Fantasy Mystery Sci-Fi,city lost des enfants adventure drama fantasy mystery,4.0131578947368425,38.0
31,Dangerous Minds,1995,Drama,dangerous minds drama,3.1842105263157894,38.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery Sci-Fi Thriller,twelve monkeys mystery thriller,3.983050847457627,177.0
34,Babe,1995,Children Drama,babe children drama,3.65234375,128.0
36,Dead Man Walking,1995,Crime Drama,dead man walking crime drama,3.8358208955223883,67.0
39,Clueless,1995,Comedy Romance,clueless comedy romance,3.293269230769231,104.0
41,Richard III,1995,Drama War,richard iii drama war,3.7,15.0
42,Dead Presidents,1995,Action Crime Drama,dead presidents action crime drama,3.0,7.0
43,Restoration,1995,Drama,restoration drama,3.1875,8.0
44,Mortal Kombat,1995,Action Adventure Fantasy,mortal kombat action adventure fantasy,2.5434782608695654,46.0
45,To Die For,1995,Comedy Drama Thriller,die comedy drama thriller,3.3125,32.0
46,How to Make an American Quilt,1995,Drama Romance,make american quilt drama romance,3.066666666666667,15.0
47,Seven (a.k.a. Se7en),1995,Mystery Thriller,seven mystery thriller,3.9753694581280787,203.0
48,Pocahontas,1995,Animation Children Drama Musical Romance,pocahontas animation children drama musical romance,3.1470588235294117,68.0
50,"Usual Suspects, The",1995,Crime Mystery Thriller,usual crime mystery thriller,4.237745098039215,204.0
52,Mighty Aphrodite,1995,Comedy Drama Romance,mighty aphrodite comedy drama romance,3.4642857142857144,28.0
57,Home for the Holidays,1995,Drama,home holidays drama,3.0625,8.0
58,"Postman, The (Postino, Il)",1994,Comedy Drama Romance,comedy drama romance,4.027027027027027,37.0
60,"Indian in the Cupboard, The",1995,Adventure Children Fantasy,indian adventure children fantasy,3.235294117647059,34.0
61,Eye for an Eye,1996,Drama Thriller,eye eye drama thriller,3.75,6.0
62,Mr. Holland's Opus,1995,Drama,opus drama,3.70625,80.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy Crime,menace south central drinking juice hood comedy crime,2.7142857142857144,7.0
64,Two if by Sea,1996,Comedy Romance,two sea comedy romance,2.2,5.0
65,Bio-Dome,1996,Comedy,comedy,2.532258064516129,31.0
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action Sci-Fi Thriller,lawnmower man beyond cyberspace action thriller,2.5,9.0
68,French Twist (Gazon maudit),1995,Comedy Romance,french twist comedy romance,3.4,5.0
69,Friday,1995,Comedy,friday comedy,3.775,20.0
70,From Dusk Till Dawn,1996,Action Comedy Horror Thriller,dusk till dawn action comedy horror thriller,3.5090909090909093,55.0
71,Fair Game,1995,Action,fair game action,1.7,5.0
72,Kicking and Screaming,1995,Comedy Drama,kicking screaming comedy drama,3.2142857142857144,7.0
73,"Misérables, Les",1995,Drama War,les drama war,3.4615384615384617,13.0
74,Bed of Roses,1996,Drama Romance,bed roses drama romance,4.0,8.0
75,Big Bully,1996,Comedy Drama,big bully comedy drama,2.2,5.0
76,Screamers,1995,Action Sci-Fi Thriller,screamers action thriller,3.4,15.0
